,LOCATION,VARIABLE,TIME,Value
345,ITA,GDPVD_CAP,2048,55508.73
346,ITA,GDPVD_CAP,2049,56439.61
347,ITA,GDPVD_CAP,2050,57398.47
348,LUX,GDPVD_CAP,2022,112181.179741755
349,LUX,GDPVD_CAP,2023,108837.488584893
350,LUX,GDPVD_CAP,2024,108518.20777363
351,LUX,GDPVD_CAP,2025,110111.116905434
352,LUX,GDPVD_CAP,2026,112116.1
353,LUX,GDPVD_CAP,2027,114027.8
354,LUX,GDPVD_CAP,2028,115699.3
355,LUX,GDPVD_CAP,2029,117130.3
356,LUX,GDPVD_CAP,2030,118385.7
357,LUX,GDPVD_CAP,2031,119560.7
358,LUX,GDPVD_CAP,2032,120693.0
359,LUX,GDPVD_CAP,2033,121811.8
360,LUX,GDPVD_CAP,2034,122894.0
361,LUX,GDPVD_CAP,2035,123975.8
362,LUX,GDPVD_CAP,2036,125057.1
363,LUX,GDPVD_CAP,2037,126138.4
364,LUX,GDPVD_CAP,2038,127219.3
365,LUX,GDPVD_CAP,2039,128296.3
366,LUX,GDPVD_CAP,2040,129363.6
367,LUX,GDPVD_CAP,2041,130422.8
368,LUX,GDPVD_CAP,2042,131473.2
369,LUX,GDPVD_CAP,2043,132507.9
370,LUX,GDPVD_CAP,2044,133532.2
371,LUX,GDPVD_CAP,2045,134547.3
372,LUX,GDPVD_CAP,2046,135549.0
373,LUX,GDPVD_CAP,2047,136535.9
374,LUX,GDPVD_CAP,2048,137508.8
375,LUX,GDPVD_CAP,2049,138471.1
376,LUX,GDPVD_CAP,2050,139424.2
377,NLD,GDPVD_CAP,2022,56248.1667370583
378,NLD,GDPVD_CAP,2023,55865.6891419809
379,NLD,GDPVD_CAP,2024,55818.0800334688
380,NLD,GDPVD_CAP,2025,56152.4430986986
381,NLD,GDPVD_CAP,2026,56997.81
382,NLD,GDPVD_CAP,2027,57908.92
383,NLD,GDPVD_CAP,2028,58718.9
384,NLD,GDPVD_CAP,2029,59427.83
385,NLD,GDPVD_CAP,2030,60079.01
386,NLD,GDPVD_CAP,2031,60718.38
387,NLD,GDPVD_CAP,2032,61365.33
388,NLD,GDPVD_CAP,2033,62030.57
389,NLD,GDPVD_CAP,2034,62708.42
390,NLD,GDPVD_CAP,2035,63423.65
391,NLD,GDPVD_CAP,2036,64195.26
392,NLD,GDPVD_CAP,2037,65019.57
393,NLD,GDPVD_CAP,2038,65911.57
394,NLD,GDPVD_CAP,2039,66865.53
395,NLD,GDPVD_CAP,2040,67874.68
396,NLD,GDPVD_CAP,2041,68938.46
397,NLD,GDPVD_CAP,2042,70048.94
398,NLD,GDPVD_CAP,2043,71195.14
399,NLD,GDPVD_CAP,2044,72375.48
