,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
588,CHE,2030,6476783.155414776,2546193.0440296014,0.3931261836210945,1.2638151157055077e-05,0.6068611782277484,CIR
589,CHE,2031,6502328.74919798,2499881.686707666,0.384459442629075,9.47137714708668e-06,0.6155310859937779,CIR
590,CHE,2032,6527858.617966736,2453270.132827355,0.37581545134497524,7.098089174609071e-06,0.6241774505658502,CIR
591,CHE,2033,6553453.648169065,2406374.440596474,0.3671917998945149,5.319475640002182e-06,0.6328028806298451,CIR
592,CHE,2034,6580181.622622492,2359563.0385114276,0.3585863086817105,3.986534139358633e-06,0.6414097047841502,CIR
593,CHE,2035,6606858.087078491,2312380.591866072,0.34999701240572445,2.9875942755224813e-06,0.65,CIR
594,CHE,2036,6633351.456968285,2321658.158095575,0.3499977610347618,2.238965238156894e-06,0.65,CIR
595,CHE,2037,6659948.330397447,2330970.7407391444,0.3499983220740751,1.6779259248457665e-06,0.65,CIR
596,CHE,2038,6686302.909990938,2340197.6106645223,0.3499987425289552,1.2574710447709984e-06,0.65,CIR
597,CHE,2039,6712222.711063045,2349271.6234516934,0.3499990576265651,9.423734348841764e-07,0.65,CIR
598,CHE,2040,6737696.081634746,2358188.870189459,0.34999929376709127,7.062329086886362e-07,0.65,CIR
599,CHE,2041,6762487.459909057,2366867.0318235666,0.34999947073549126,5.292645087208158e-07,0.65,CIR
600,CHE,2042,6786574.342291366,2375298.327968849,0.3499996033590743,3.9664092564239074e-07,0.65,CIR
601,CHE,2043,6809658.456695813,2383378.435670892,0.3499997027497553,2.972502446733644e-07,0.65,CIR
602,CHE,2044,6831636.2969514225,2391071.182083812,0.3499997772350401,2.227649598749477e-07,0.65,CIR
603,CHE,2045,6852675.039890659,2398435.119946925,0.34999983305573384,1.6694426611751717e-07,0.65,CIR
604,CHE,2046,6872521.969844056,2405381.8296161,0.34999987488882195,1.2511117805523504e-07,0.65,CIR
605,CHE,2047,6891251.72400461,2411937.4572732337,0.3499999062393298,9.376067017128701e-08,0.65,CIR
606,CHE,2048,6908732.1393285,2418055.763315948,0.34999992973399213,7.026600783613092e-08,0.65,CIR
607,CHE,2049,6924949.020031178,2423731.7923523397,0.34999994734133466,5.2658665318547854e-08,0.65,CIR
608,CHE,2050,6939945.028986894,2428980.486271644,0.3499999605366083,3.9463391668922965e-08,0.65,CIR
609,GBR,2022,31047164.594945215,13954418.241308574,0.44945870012170097,0.078705818592855,0.47183548128544406,CIR
610,GBR,2023,31132505.720359858,13955420.552500391,0.448258828821925,0.0657976491448614,0.48594352203321356,CIR
611,GBR,2024,31207399.411134195,13893927.818306679,0.44521261240850446,0.0548694161360283,0.49991797145546724,CIR
612,GBR,2025,31334320.50205411,13804403.099491803,0.44055217660095297,0.0456599087904605,0.5137879146085865,CIR
613,GBR,2026,31514986.946915265,13693099.02661399,0.4344948341460218,0.0379288714590295,0.5275762943949487,CIR
614,GBR,2027,31704227.67193151,13545275.985126305,0.4272387936804483,0.0314600652648092,0.5413011410547425,CIR
615,GBR,2028,31887633.249444988,13359683.34862967,0.41896127078864337,0.026062148084302,0.5549765811270546,CIR
616,GBR,2029,32061016.31105168,13139190.1407148,0.40981826693327933,0.0215680780675001,0.5686136549992206,CIR
617,GBR,2030,32225403.24461122,12888402.777046066,0.399945430603767,0.0178335962722573,0.5822209731239757,CIR
618,GBR,2031,32382462.031966202,12611659.40302706,0.38945955963995316,0.0147352013964095,0.5958052389636374,CIR
