DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,DK,2019,844,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,DK,2020,814,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,DK,2021,769,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2012,280,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2013,293,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2014,357,b
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2015,359,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2016,376,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2017,390,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2018,405,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2019,369,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2020,383,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EE,2021,395,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2012,495,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2013,482,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2014,488,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2015,488,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2016,498,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2017,504,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2018,515,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,EL,2019,524,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,ES,2012,468,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,ES,2013,454,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,ES,2014,448,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,ES,2015,456,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,GEN,KG_HAB,ES,2016,463,
