DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2012,12,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2013,9,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2014,3,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2015,3,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2016,4,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2017,3,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2018,3,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2019,2,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2020,0,b
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2021,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,1995,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,1996,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,1997,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,1998,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,1999,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2000,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2001,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2002,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2003,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2004,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2005,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2006,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2007,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2008,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2009,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2010,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2011,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2012,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2013,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2014,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2015,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2016,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2017,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2018,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2019,0,s
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2020,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BG,2021,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,1995,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,1996,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,1997,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,1998,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,1999,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2000,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2001,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2002,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2003,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2004,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2005,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2006,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2007,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2008,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2009,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2010,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2011,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2012,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2013,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2014,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2015,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2016,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2017,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2018,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2019,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2020,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CH,2021,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,1995,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,1996,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,1997,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,1998,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,1999,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2000,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2001,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2002,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2003,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2004,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2005,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2006,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2007,0,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,CY,2008,0,
