STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1989,,413.4094,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1990,,417.3043,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1991,,403.1004,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1992,,405.0654,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1993,,422.6101,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1994,,428.4211,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1995,,437.3275,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1996,,516.3955,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1997,,532.2513,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1998,,531.5422,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,1999,,562.5398,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2000,,579.9116,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2001,,576.2039,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2002,,608.0087,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2003,,607.5204,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2004,,573.7234,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2005,,575.2997,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2006,,596.6414,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2007,,596.8519,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUT,Austria,A,Annual,MUNICIPAL,Total waste generated,KG_PS,Kilogrammes per person,2008,,600.4897,,A,Normal value,0,Units,1,One,,,,,,
