,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%
1012,EST,2038,579793.4891613112,392592.5178086526,0.6771247438058499,0.0006885468566766765,0.3221867093374735
1013,EST,2039,584140.8579488507,395631.3706211984,0.6772876186240702,0.0005255634636580935,0.3221868179122718
1014,EST,2040,588439.4954176742,398615.9559579421,0.6774119668412206,0.0004011437179268941,0.3221868894408525
1015,EST,2041,592699.7941072187,401558.19652273174,0.6775068939033414,0.000306169533113154,0.32218693656354547
1016,EST,2042,596913.5026076555,404456.2669097648,0.6775793563772159,0.0002336760150336362,0.32218696760775045
1017,EST,2043,601031.7640325915,407279.95976479107,0.6776346678121756,0.0001783441283018306,0.3221869880595225
1018,EST,2044,605065.0096621325,410038.5715996249,0.6776768860400469,0.00013611242690272378,0.32218700153305035
1019,EST,2045,608993.4615098635,412720.4164827963,0.6777091094862465,0.00010388010440890953,0.3221870104093446
1020,EST,2046,612798.6466976127,415314.29647434055,0.6777337037418077,7.928000118858841e-05,0.32218701625700363
1021,EST,2047,616461.3877366612,417808.2311174832,0.6777524747356305,6.050515495681103e-05,0.32218702010941264
1022,EST,2048,619993.2330164749,420210.8302134321,0.6777668010487237,4.617630391555919e-05,0.32218702264736077
1023,EST,2049,623363.5525911589,422501.9367471748,0.6777777349845768,3.524069607473384e-05,0.3221870243193484
1024,EST,2050,626577.0493015927,424685.2019125374,0.6777860797581209,2.6894821033490693e-05,0.32218702542084565
1025,LVA,2010,680000.0,0.0,0.0,0.9073529411764706,0.09411764705882353
1026,LVA,2011,721000.0,0.0,0.0,0.8835274542429284,0.11647254575707154
1027,LVA,2012,658000.0,3000.0,0.004878048780487805,0.8390243902439024,0.15609756097560976
1028,LVA,2013,704000.0,12000.0,0.016783216783216783,0.7286713286713287,0.2545454545454545
1029,LVA,2014,726000.0,11000.0,0.015235457063711912,0.7132963988919667,0.27146814404432135
1030,LVA,2015,798000.0,15000.0,0.02032520325203252,0.6693766937669376,0.31029810298102983
1031,LVA,2016,802000.0,19000.0,0.025780189959294438,0.7001356852103121,0.27408412483039346
1032,LVA,2017,798000.0,22000.0,0.029850746268656716,0.7028493894165536,0.26865671641791045
1033,LVA,2018,785000.0,15000.0,0.022189349112426034,0.6834319526627219,0.29289940828402367
1034,LVA,2019,840000.0,28000.0,0.03278688524590164,0.5644028103044496,0.4028103044496487
1035,LVA,2020,909000.0,24000.0,0.027745664739884393,0.5549132947976878,0.41734104046242776
1036,LVA,2021,869000.0,30000.0,0.03456221198156682,0.5253456221198156,0.4412442396313364
1037,LVA,2022,856698.9626009216,64912.98028825817,0.07577105041797133,0.4656262906928819,0.4586026588891468
1038,LVA,2023,853774.1297837574,83080.4434144081,0.09730962852604891,0.4242163052251955,0.4784740662487556
1039,LVA,2024,855874.7711245285,103203.28847388919,0.12058222996606272,0.3838842528654442,0.49553351716849303
1040,LVA,2025,860435.6853444241,124676.10420021485,0.14489880687631895,0.3451212746069128,0.5099799185167683
1041,LVA,2026,863334.5527093831,146410.9430921169,0.16958772544506506,0.30833982038407237,0.5220724541708626
1042,LVA,2027,864560.5289826017,167762.31068826068,0.19404345336662565,0.2738597733732501,0.5320967732601242
1043,LVA,2028,864637.3454207433,188280.87972403763,0.21775705238873044,0.2419030645780074,0.5403398830332622
1044,LVA,2029,863862.643845697,207612.52177336803,0.24033047759668114,0.21259605876430435,0.5470734636390145
1045,LVA,2030,862570.6164887766,225542.95888107998,0.2614776744879005,0.18597812254853652,0.552544202963563
1046,LVA,2031,861018.4154432359,241960.1707752843,0.2810162552106714,0.16201435453910304,0.5569693902502255
1047,LVA,2032,859319.422099071,256810.58140208086,0.29885345867636304,0.1406104379878184,0.5605361033358186
1048,LVA,2033,857578.3117769035,270111.0246194093,0.31496951463212597,0.12162785744424807,0.5634026279236259
1049,LVA,2034,856251.1542678444,282049.7621897814,0.3294007380707755,0.10489816284174341,0.5657010990874811
1050,LVA,2035,854910.5259334578,292570.8014199343,0.34222388489191047,0.09023544255104626,0.5675406725570432
1051,LVA,2036,853517.6605112582,301754.87044024415,0.35354262061723785,0.07744659433028964,0.5690107850524725
1052,LVA,2037,852102.3605284861,309719.1316116756,0.36347643893344384,0.06633931477674374,0.5701842462898125
1053,LVA,2038,850618.275884882,316559.306957279,0.3721520168702799,0.056727952877523,0.5711200302521972
1054,LVA,2039,849072.3396382369,322390.0368310546,0.3796967841025358,0.04843750237640048,0.5718657135210637
1055,LVA,2040,847489.3171197227,327329.5120170172,0.3862343812538892,0.041306062045830656,0.5724595567002801
1056,LVA,2041,845858.8682269423,331476.57118913566,0.3918816526496488,0.03518609572488401,0.5729322516254672
1057,LVA,2042,844171.8146952412,334922.4953381627,0.3967468345991566,0.029944795559062484,0.5733083698417809
1058,LVA,2043,842425.6038908018,337752.55158261396,0.40092863989731564,0.02546380794887326,0.5736075521538111
1059,LVA,2044,840595.0327819606,340034.1305382124,0.4045159884098588,0.021638533081099337,0.5738454785090419
1060,LVA,2045,838677.1321265026,341834.88873671694,0.4075881833930295,0.018377162219874385,0.5740346543870961
1061,LVA,2046,836635.2987377153,343200.66586542135,0.4102153786521199,0.015599575690536025,0.5741850456573441
1062,LVA,2047,834428.5623195663,344167.75440397364,0.41245922053200956,0.013236190092716761,0.5743045893752736
1063,LVA,2048,832081.6577715254,344792.65580452065,0.41437358050643924,0.011226815819236706,0.5743996036743241
1064,LVA,2049,829527.3776011115,345087.80149214424,0.41600531918560013,0.009519564812113464,0.5744751160022864
1065,LVA,2050,826767.8864949669,345088.8164938694,0.417395041741223,0.008069832720459831,0.5745351255383172
1066,LTU,2010,1253000.0,1000.0,0.0008748906386701663,0.9440069991251093,0.0542432195975503
1067,LTU,2011,1339000.0,7000.0,0.0053475935828877,0.7899159663865546,0.2047364400305577
1068,LTU,2012,1330000.0,0.0,0.0,0.7568199532346064,0.24318004676539362
1069,LTU,2013,1280000.0,92000.0,0.0738362760834671,0.6404494382022472,0.2857142857142857
1070,LTU,2014,1270000.0,113000.0,0.09061748195669607,0.5998396150761829,0.3103448275862069
1071,LTU,2015,1300000.0,150000.0,0.11691348402182385,0.5471551052221356,0.33593141075604055
1072,LTU,2016,1272000.0,221000.0,0.18249380677126342,0.3129644921552436,0.5045417010734929
1073,LTU,2017,1286000.0,236000.0,0.18509803921568627,0.33019607843137255,0.48549019607843136
1074,LTU,2018,1301000.0,163000.0,0.13967437874892888,0.27420736932305056,0.5861182519280206
1075,LTU,2019,1319000.0,194000.0,0.16738567730802417,0.2450388265746333,0.5651423641069888
1076,LTU,2020,1350000.0,349000.0,0.29156223893065997,0.18379281537176273,0.5104427736006684
1077,LTU,2021,1345000.0,473000.0,0.36666666666666664,0.16046511627906976,0.462015503875969
1078,LTU,2022,1377864.1126744982,473870.07216302236,0.34391640496624776,0.08671534319138688,0.5693682518423654
1079,LTU,2023,1375250.659275502,497778.80085165956,0.36195496253308124,0.06309045887446173,0.574954578592457
1080,LTU,2024,1381723.8841587107,519037.4264214294,0.375644824825081,0.04558094287743019,0.5787742322974888
1081,LTU,2025,1394838.6325595023,538221.9397966723,0.3858668144350471,0.032761029529248295,0.5813721560357046
1082,LTU,2026,1410213.9274846362,554790.8480649788,0.39340899792029826,0.023458223001852414,0.5831327790778493
1083,LTU,2027,1420919.0799010047,566841.04360648,0.39892563315144713,0.01675131392728968,0.5843230529212632
1084,LTU,2028,1427395.6233186852,575147.7227498386,0.4029350471263349,0.011938538748148358,0.5851264141255168
1085,LTU,2029,1430731.5318199608,580641.508169994,0.405835403257933,0.00849656713725225,0.5856680296048148
1086,LTU,2030,1432299.0060118425,584272.3138366367,0.4079262160933217,0.00604087848327366,0.5860329054234047
1087,LTU,2031,1432993.7751396387,586709.9873654722,0.40942954361982486,0.004291865575344482,0.5862785908048307
1088,LTU,2032,1433217.9168475692,588347.9137207376,0.41050834405896675,0.0030476917759845704,0.5864439641650487
1089,LTU,2033,1433173.4222082917,589437.4814286258,0.4112813371325269,0.002163409722856377,0.5865552531446168
1090,LTU,2034,1433605.6149036083,590408.3380467652,0.41183456029255483,0.0015353055476295158,0.5866301341598157
1091,LTU,2035,1433699.0709961099,591013.9500179919,0.41223012693128513,0.0010893602996755224,0.5866805127690393
1092,LTU,2036,1433455.447841272,591318.6510152073,0.4125127515513022,0.0007728442201005308,0.5867144042285973
1093,LTU,2037,1432931.5970892713,591391.7260316485,0.41271455471632323,0.0005482421520253513,0.5867372031316515
1094,LTU,2038,1432023.9711470313,591223.3724592472,0.4128585724620836,0.0003888879897339178,0.5867525395481825
1095,LTU,2039,1430915.0952056784,590912.5644806812,0.4129613045949061,0.00027583954181146917,0.5867628558632825
1096,LTU,2040,1429689.8144985177,590511.2996191059,0.4130345573079678,0.0001956474740512642,0.5867697952179809
1097,LTU,2041,1428392.947394407,590050.2309349552,0.4130867714036892,0.00013876560891949559,0.5867744629873913
1098,LTU,2042,1427021.018255093,589536.5990338952,0.41312397749737295,9.841975208379798e-05,0.5867776027505432
1099,LTU,2043,1425576.8715866343,588977.771255273,0.41315048174129976,6.980356370486781e-05,0.5867797146949953
1100,LTU,2044,1424098.6570590916,588393.9270302232,0.4131693574132823,4.9507308039717356e-05,0.5867811352786779
1101,LTU,2045,1422544.267835997,587770.819360798,0.41318279694376525,3.511223442220933e-05,0.5867820908218125
1102,LTU,2046,1420880.2288563382,587096.8604059083,0.4131923637775301,2.490266381403263e-05,0.5867827335586558
1103,LTU,2047,1419044.276759132,586347.9208088659,0.4131991724373745,1.7661673636789615e-05,0.5867831658889887
1104,LTU,2048,1417044.7519180155,585528.5840112923,0.4132040171764234,1.2526132206635283e-05,0.58678345669137
1105,LTU,2049,1414783.8843161839,584599.2607316517,0.4132074638482397,8.883855353126645e-06,0.5867836522964072
1106,LTU,2050,1412261.3667564234,583560.3999928739,0.4132099154798463,6.300652195999998e-06,0.5867837838679577
1107,ROU,2010,6343000.0,21000.0,0.003720106288751107,0.8526129317980514,0.14366696191319753
1108,ROU,2011,5216000.0,47000.0,0.009972416719711436,0.8608105240823255,0.12942923827710587
1109,ROU,2012,5044000.0,89000.0,0.02088711570053978,0.8042712978174138,0.17484158648204648
1110,ROU,2013,5071000.0,97000.0,0.02271662763466042,0.8203747072599532,0.15690866510538642
1111,ROU,2014,4956000.0,133000.0,0.03065928999538958,0.8201936376210235,0.14937759336099585
1112,ROU,2015,4904000.0,116000.0,0.027052238805970148,0.8213619402985075,0.1515858208955224
1113,ROU,2016,5143000.0,220000.0,0.046218487394957986,0.7495798319327731,0.14474789915966388
1114,ROU,2017,5333000.0,227000.0,0.04475552050473186,0.7988958990536278,0.14688485804416404
1115,ROU,2018,5296000.0,241000.0,0.04858870967741936,0.8256048387096774,0.11814516129032258
1116,ROU,2019,5430000.0,251000.0,0.05012981825444378,0.8228480127821051,0.1244258038745756
1117,ROU,2020,5588000.0,298000.0,0.058511682701747496,0.8077753779697624,0.1301786766149617
1118,ROU,2021,5768000.0,335000.0,0.0626753975678204,0.8149672591206736,0.12235734331150608
1119,ROU,2022,5530527.508837908,359899.5523586165,0.06507508583647562,0.8011457543301451,0.13377915983337926
1120,ROU,2023,5555756.64636479,400854.17544869444,0.07215113997316261,0.7939465118925696,0.1339023481342678
1121,ROU,2024,5606668.697208978,444328.62389671284,0.07925002312298235,0.7867647356798079,0.13398524119720978
1122,ROU,2025,5672318.637159396,489848.766307615,0.08635776613440094,0.7796012422860343,0.13404099157956473
1123,ROU,2026,5730735.77911118,535621.4207909765,0.0934646861129671,0.7724568396675374,0.13407847421949548
1124,ROU,2027,5779707.512932564,581230.5296705234,0.10056400403826196,0.7653323267967204,0.13410366916501767
1125,ROU,2028,5821596.449094085,626700.1243058125,0.10765090465920824,0.7582284933249394,0.1341206020158524
1126,ROU,2029,5857587.457638491,671993.5612973736,0.11472189978505082,0.7511461192544555,0.13413198096049367
1127,ROU,2030,5888997.087045449,717129.0765840119,0.12177439825221592,0.7440859746197628,0.1341396271280213
1128,ROU,2031,5916079.420552028,762028.9871260722,0.12880641603269202,0.737048819178545,0.13414476478876294
1129,ROU,2032,5941547.345673975,806959.4584902584,0.13581638107753252,0.7300354021124892,0.1341482168099783
1130,ROU,2033,5963020.938894617,851537.2914768783,0.14280300206940583,0.7230464617381768,0.1341505361924174
1131,ROU,2034,5980748.221563162,895707.8353057248,0.14976518022884058,0.7160827252282506,0.13415209454290886
1132,ROU,2035,5994910.456334362,939414.1591638018,0.1567019500968851,0.7091449083430433,0.13415314156007158
1133,ROU,2036,6006605.286693565,982755.3459113439,0.16361243980663126,0.7022337151728375,0.13415384502053124
1134,ROU,2037,6016197.25072128,1025736.630675049,0.17049584445591004,0.6953498378909055,0.13415431765318442
1135,ROU,2038,6023999.62925248,1068364.8177469021,0.17735140828344903,0.6884939565174701,0.13415463519908083
1136,ROU,2039,6031030.002005851,1110785.5330670215,0.18417841275828292,0.6816667386946994,0.13415484854701767
1137,ROU,2040,6036765.585558858,1152878.3625038369,0.1909761686393374,0.6748688394728443,0.13415499188781835
1138,ROU,2041,6041617.24114397,1194693.6243728802,0.19774401069913974,0.6681009011076006,0.1341550881932597
1139,ROU,2042,6045823.784073089,1236257.872077392,0.2044812942339053,0.6613635528687692,0.13415515289732546
1140,ROU,2043,6049313.670796637,1277538.7821843997,0.21118739277015536,0.6546574108602665,0.13415519636957812
1141,ROU,2044,6052091.889921483,1318519.0069450203,0.21786169657151822,0.6479830778515234,0.13415522557695836
1142,ROU,2045,6054013.715462064,1359147.9442778714,0.2245036116794024,0.6413411431202967,0.13415524520030095
1143,ROU,2046,6055001.143749888,1399386.8109486287,0.23111255930861518,0.634732182306898,0.13415525838448683
1144,ROU,2047,6054944.390195249,1439187.4737357064,0.23768797547772327,0.628156757279832,0.13415526724244473
1145,ROU,2048,6054158.862173523,1478603.0463424285,0.24422931079340565,0.6216154160128217,0.13415527319377268
1146,ROU,2049,6053441.400864553,1517815.866715738,0.2507360303345736,0.615108692473181,0.13415527719224543
1147,ROU,2050,6052764.44956955,1556817.099755791,0.25720761359984956,0.6086371065214821,0.13415527987866835
1148,SVN,2010,1004000.0,9000.0,0.011180124223602485,0.7093167701863354,0.2795031055900621
1149,SVN,2011,852000.0,11000.0,0.013819095477386936,0.6042713567839196,0.38190954773869346
1150,SVN,2012,744000.0,10000.0,0.01564945226917058,0.4945226917057903,0.48982785602503914
1151,SVN,2013,853000.0,4000.0,0.0076045627376425855,0.42585551330798477,0.564638783269962
1152,SVN,2014,892000.0,2000.0,0.0037735849056603774,0.39245283018867927,0.6056603773584905
