unit,NUTS_code,Geopolitical entity (reporting),TIME_PERIOD,Animal and mixed food waste; vegetal wastes (W091+W092),Glass wastes,Health care and biological wastes,"Metal wastes, ferrous","Metal wastes, mixed ferrous and non-ferrous","Metal wastes, non-ferrous","Mixed ordinary wastes (subtotal, W101+W102+W103)",Paper and cardboard wastes,Plastic wastes,Textile + rubber,Wood wastes,"weee + batt, no elv"
T,BGR,Bulgaria,2004,0.0,0.0,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.0
T,BGR,Bulgaria,2006,0.0,0.0,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.0
T,BGR,Bulgaria,2008,0.0,0.0,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.0
T,BGR,Bulgaria,2010,,5.566154974027948,0.0,0.0,73.886152113079,0.0,,7.44982163771446,1.897971408391521,1.6892115403527908,0.0,9.510688326434275
T,BGR,Bulgaria,2012,,3.2175378706555944,0.0,0.0,63.895396214061286,0.0,,9.564127169015038,4.659890613676019,4.546020660279669,3.8115594608732164,10.305468011439185
T,BGR,Bulgaria,2014,,2.1634131096222293,0.0,0.0,54.11942164342943,0.0,,26.33013573850321,9.311251504522607,0.4191139373464267,1.1695241834251975,6.487139883150897
T,BGR,Bulgaria,2016,,11.316941048865173,0.0,0.0,12.55555694079952,3.550657332892826,,26.488894845437944,5.793973357602807,10.148297292748456,8.010173231684131,22.135505949969144
T,BGR,Bulgaria,2018,,7.383710666740144,0.0,0.000653822479724498,17.76127446813876,0.0028954995530656334,,32.0364608775979,16.367138134943357,0.296835405794922,5.153802398034049,20.99722872671808
T,BGR,Bulgaria,2020,,2.4238794878431746,0.0,0.0,27.132821849908144,0.0,,29.668804411251436,8.818985552862959,0.3988091641331492,1.6727979141432956,29.88390161985785
T,BGR,Bulgaria,2022,,2.6614130969049814,0.013284481865353807,0.0,22.45901073120445,0.0,,24.09200566450307,5.971839555341823,4.916719583186097,4.118455067896988,35.76727181909724
T,CYP,Cyprus,2004,0.0,0.9131918728409322,0.0,,,,37.44293845588121,32.534014222010455,13.812855744480299,15.296999704787112,0.0,0.0
T,CYP,Cyprus,2006,0.0,0.8751400486095753,0.0,,,,35.90191304566554,31.194078812911822,13.244694397950807,17.176221763632533,0.0,1.607951931229713
T,CYP,Cyprus,2008,10.834225767675665,1.9949732269697305,0.0,,,,17.18002404108841,29.783236804720797,15.291705824500056,24.16312971259972,0.0,0.7527046224456344
T,CYP,Cyprus,2010,,3.475803539988678,0.0,0.6879844529331272,0.13539052645185445,4.889102344094744,,37.13344268579146,25.474479721507816,23.8862318420689,1.731438683134909,2.586126204028509
