unit,waste,Waste categories,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,NUTS_code
T,W05,Health care and biological wastes,Ireland,2020,0.0,IRL
T,W05,Health care and biological wastes,Ireland,2022,0.0,IRL
T,W05,Health care and biological wastes,Iceland,2004,0.0,ISL
T,W05,Health care and biological wastes,Iceland,2010,0.0,ISL
T,W05,Health care and biological wastes,Iceland,2012,0.0,ISL
T,W05,Health care and biological wastes,Iceland,2014,199.0,ISL
T,W05,Health care and biological wastes,Iceland,2016,258.0,ISL
T,W05,Health care and biological wastes,Iceland,2018,277.0,ISL
T,W05,Health care and biological wastes,Iceland,2020,0.0,ISL
T,W05,Health care and biological wastes,Iceland,2022,0.0,ISL
T,W05,Health care and biological wastes,Italy,2004,0.0,ITA
T,W05,Health care and biological wastes,Italy,2012,0.0,ITA
T,W05,Health care and biological wastes,Italy,2014,0.0,ITA
T,W05,Health care and biological wastes,Italy,2016,0.0,ITA
T,W05,Health care and biological wastes,Italy,2018,0.0,ITA
T,W05,Health care and biological wastes,Italy,2020,0.0,ITA
T,W05,Health care and biological wastes,Italy,2022,0.0,ITA
T,W05,Health care and biological wastes,Liechtenstein,2008,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2010,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2012,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2014,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2016,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2018,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2020,0.0,
T,W05,Health care and biological wastes,Liechtenstein,2022,0.0,
T,W05,Health care and biological wastes,Lithuania,2004,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2006,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2008,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2010,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2012,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2014,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2016,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2018,0.0,LTU
T,W05,Health care and biological wastes,Lithuania,2020,8.0,LTU
T,W05,Health care and biological wastes,Lithuania,2022,0.0,LTU
T,W05,Health care and biological wastes,Luxembourg,2004,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2006,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2008,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2010,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2012,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2014,1.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2016,2.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2018,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2020,0.0,LUX
T,W05,Health care and biological wastes,Luxembourg,2022,2.0,LUX
T,W05,Health care and biological wastes,Latvia,2004,0.0,LVA
T,W05,Health care and biological wastes,Latvia,2006,0.0,LVA
T,W05,Health care and biological wastes,Latvia,2008,4191.0,LVA
T,W05,Health care and biological wastes,Latvia,2010,371.0,LVA
T,W05,Health care and biological wastes,Latvia,2012,0.0,LVA
T,W05,Health care and biological wastes,Latvia,2014,681.0,LVA
T,W05,Health care and biological wastes,Latvia,2016,1930.0,LVA
T,W05,Health care and biological wastes,Latvia,2018,57.0,LVA
T,W05,Health care and biological wastes,Latvia,2020,0.0,LVA
T,W05,Health care and biological wastes,Latvia,2022,0.0,LVA
T,W05,Health care and biological wastes,Montenegro,2012,0.0,
T,W05,Health care and biological wastes,Montenegro,2014,0.0,
T,W05,Health care and biological wastes,Montenegro,2016,0.0,
T,W05,Health care and biological wastes,Montenegro,2018,0.0,
T,W05,Health care and biological wastes,Montenegro,2020,0.0,
T,W05,Health care and biological wastes,Montenegro,2022,0.0,
T,W05,Health care and biological wastes,North Macedonia,2012,0.0,
T,W05,Health care and biological wastes,North Macedonia,2014,0.0,
T,W05,Health care and biological wastes,North Macedonia,2016,0.0,
T,W05,Health care and biological wastes,North Macedonia,2018,0.0,
T,W05,Health care and biological wastes,North Macedonia,2020,0.0,
T,W05,Health care and biological wastes,North Macedonia,2022,0.0,
T,W05,Health care and biological wastes,Malta,2004,0.0,MLT
T,W05,Health care and biological wastes,Malta,2006,0.0,MLT
T,W05,Health care and biological wastes,Malta,2008,0.0,MLT
T,W05,Health care and biological wastes,Malta,2010,0.0,MLT
T,W05,Health care and biological wastes,Malta,2012,2.0,MLT
T,W05,Health care and biological wastes,Malta,2014,2.0,MLT
T,W05,Health care and biological wastes,Malta,2016,3.0,MLT
T,W05,Health care and biological wastes,Malta,2018,4.0,MLT
T,W05,Health care and biological wastes,Malta,2020,0.0,MLT
T,W05,Health care and biological wastes,Malta,2022,0.0,MLT
T,W05,Health care and biological wastes,Netherlands,2004,60.0,NLD
T,W05,Health care and biological wastes,Netherlands,2006,0.0,NLD
T,W05,Health care and biological wastes,Netherlands,2008,5.0,NLD
T,W05,Health care and biological wastes,Netherlands,2010,0.0,NLD
T,W05,Health care and biological wastes,Netherlands,2016,0.0,NLD
T,W05,Health care and biological wastes,Netherlands,2018,0.0,NLD
T,W05,Health care and biological wastes,Netherlands,2020,0.0,NLD
T,W05,Health care and biological wastes,Netherlands,2022,0.0,NLD
T,W05,Health care and biological wastes,Norway,2004,0.0,NOR
T,W05,Health care and biological wastes,Norway,2012,0.0,NOR
T,W05,Health care and biological wastes,Norway,2014,0.0,NOR
T,W05,Health care and biological wastes,Norway,2016,0.0,NOR
T,W05,Health care and biological wastes,Norway,2018,0.0,NOR
T,W05,Health care and biological wastes,Norway,2020,0.0,NOR
T,W05,Health care and biological wastes,Norway,2022,0.0,NOR
T,W05,Health care and biological wastes,Poland,2004,0.0,POL
T,W05,Health care and biological wastes,Poland,2008,0.0,POL
T,W05,Health care and biological wastes,Poland,2010,0.0,POL
T,W05,Health care and biological wastes,Poland,2012,0.0,POL
