Element,Unit,Fraction,n_data*,n_<DL**,Min,10%,25%,Median,75%,90%,Max
C,%TS,combustibles,152,,18.0%,42.6%,46.1%,50.5%,58.6%,76.2%,87.1%
C,%TS,metal,14,,0.0%,0.0%,0.0%,0.8%,4.5%,45.7%,76.2%
C,%TS,glass,14,,0.0%,0.0%,0.0%,0.4%,0.5%,5.5%,9.8%
C,%TS,inert,14,,0.0%,0.0%,0.0%,1.6%,14.6%,38.6%,47.1%
C,%TS,mix,104,,0.6%,3.5%,23.0%,36.8%,45.8%,52.2%,75.2%
Ca,mg/kgTS,organic,38,,5700,7180,9475,14000,23750,29850,47313
Ca,mg/kgTS,food waste,57,,0,1156,1977,3611,6709,22553,81250
Ca,mg/kgTS,gardening waste,21,,0,1306,7750,11256,14149,20838,27100
Ca,mg/kgTS,paper & cardboard,17,,0,0,7415,34600,43600,99160,101000
Ca,mg/kgTS,composites,4,,727,727,2500,12555,23080,25010,25010
Ca,mg/kgTS,plastic,9,,21.5,22,577,4160,9270,14260,14260
Ca,mg/kgTS,combustibles,23,,45.7,51,2390,9510,21522,26140,33770
Ca,mg/kgTS,metal,6,,36,36,192,1143,1728,2410,2410
Ca,mg/kgTS,glass,6,,66730,66730,66783,67775,70900,76600,76600
Ca,mg/kgTS,inert,9,,0,0,12675,36400,66303,112110,112110
Ca,mg/kgTS,mix,62,,1228.6,10950,20075,27500,36675,49640,83550
Cd,mg/kgTS,organic,71,5,0.00,0.08,0.15,0.35,0.60,1.56,7.95
Cd,mg/kgTS,food waste,100,42,0.00,0.10,0.40,0.40,1.28,3.49,7.30
Cd,mg/kgTS,gardening waste,23,,0.11,0.16,0.20,0.25,0.60,1.48,10.85
Cd,mg/kgTS,paper & cardboard,88,4,0.00,0.00,0.09,0.30,1.25,3.62,11.00
Cd,mg/kgTS,composites,15,,0.00,0.01,0.50,2.52,5.50,16.94,26.60
Cd,mg/kgTS,plastic,103,2,0.00,0.20,0.90,3.80,16.50,72.68,388.00
Cd,mg/kgTS,combustibles,158,3,0.00,0.00,0.30,1.00,3.93,11.73,250.00
Cd,mg/kgTS,metal,71,5,0.00,0.00,0.30,2.10,5.20,18.40,53.00
Cd,mg/kgTS,glass,49,4,0.00,0.00,0.15,1.10,2.95,4.80,8.40
Cd,mg/kgTS,inert,50,,0.00,0.00,0.50,1.45,3.28,7.99,341.00
Cd,mg/kgTS,mix,141,,0.20,0.76,1.25,2.17,5.04,11.67,400.00
Cl,%TS,organic,58,,0.001%,0.165%,0.400%,0.532%,0.700%,0.806%,1.200%
Cl,%TS,food waste,20,,0.000%,0.012%,0.365%,0.765%,1.173%,2.413%,8.900%
Cl,%TS,gardening waste,26,,0.000%,0.047%,0.078%,0.110%,0.283%,0.530%,0.600%
Cl,%TS,paper & cardboard,75,,0.000%,0.001%,0.070%,0.160%,0.300%,0.500%,11.600%
Cl,%TS,composites,41,,0.000%,0.000%,0.300%,0.600%,2.550%,8.120%,15.600%
Cl,%TS,plastic,90,,0.000%,0.000%,0.200%,1.250%,8.125%,47.605%,56.800%
Cl,%TS,combustibles,114,,0.000%,0.000%,0.100%,0.400%,1.248%,3.550%,23.000%
Cl,%TS,metal,19,,0.000%,0.000%,0.000%,0.000%,0.001%,0.240%,0.760%
Cl,%TS,glass,10,,0.000%,0.000%,0.000%,0.000%,0.000%,0.054%,0.060%
Cl,%TS,inert,13,,0.000%,0.000%,0.000%,0.020%,0.550%,1.094%,1.110%
Cl,%TS,mix,81,,0.000%,0.104%,0.305%,0.670%,1.000%,2.692%,13.160%
Co,mg/kgTS,organic,17,1,0.0,0.2,0.6,1.3,2.6,14.0,42.0
Co,mg/kgTS,food waste,43,41,0.0,2.0,2.0,2.0,2.0,2.0,3.0
Co,mg/kgTS,gardening waste,14,,0.0,0.2,1.1,2.0,2.7,4.1,5.0
Co,mg/kgTS,paper & cardboard,8,1,0.0,0.0,0.1,1.4,2.0,4.5,4.5
Co,mg/kgTS,composites,,,,,,,,,
Co,mg/kgTS,plastic,5,,0.0,0.0,0.0,8.0,53.3,97.6,97.6
Co,mg/kgTS,combustibles,14,,0.0,0.0,0.0,2.3,3.7,21.4,38.7
Co,mg/kgTS,metal,5,,8.0,8.0,18.5,32.0,43.5,50.0,50.0
Co,mg/kgTS,glass,3,,2.3,2.3,2.3,3.7,9.0,9.0,9.0
Co,mg/kgTS,inert,4,,0.0,0.0,2.3,24.2,68.0,77.7,77.7
Co,mg/kgTS,mix,20,,0.0,1.8,4.5,7.6,11.9,103.8,113.0
Cr,mg/kgTS,organic,62,,1.3,6.2,8.4,14.8,56.3,277.0,607.0
Cr,mg/kgTS,food waste,103,17,0.0,1.0,1.1,5.2,69.0,155.3,951.5
Cr,mg/kgTS,gardening waste,19,1,4.5,8.0,8.7,16.2,23.0,55.5,188.7
Cr,mg/kgTS,paper & cardboard,65,,2.5,5.4,8.8,20.0,40.3,99.4,291.8
Cr,mg/kgTS,composites,6,,1.0,1.0,2.4,18.5,708.5,2750.0,2750.0
Cr,mg/kgTS,plastic,73,,0.4,9.7,25.4,73.9,187.0,338.4,853.0
Cr,mg/kgTS,combustibles,122,,0.0,6.2,19.8,56.4,142.2,795.3,9000.0
Cr,mg/kgTS,metal,50,,0.0,0.0,9.2,154.5,304.3,1387.0,4702.0
Cr,mg/kgTS,glass,49,,0.0,0.0,21.6,95.3,275.7,534.0,1236.8
Cr,mg/kgTS,inert,50,,0.0,13.4,34.0,74.3,167.5,377.1,1075.5
Cr,mg/kgTS,mix,116,,16.0,53.0,74.8,111.8,182.3,277.1,671.1
Cu,mg/kgTS,organic,59,,0.00,7.22,10.20,15.10,41.45,250.00,1196.59
Cu,mg/kgTS,food waste,117,40,0.00,2.00,2.00,9.00,42.00,126.82,1168.20
Cu,mg/kgTS,gardening waste,30,,0.18,0.60,7.93,13.11,31.25,64.30,1238.61
Cu,mg/kgTS,paper & cardboard,72,,0.00,7.86,17.78,34.76,55.20,98.49,1019.60
Cu,mg/kgTS,composites,9,,14.00,14.00,17.05,59.40,92.55,834.00,834.00
Cu,mg/kgTS,plastic,57,,0.00,8.24,16.85,54.20,93.85,201.20,665.30
Cu,mg/kgTS,combustibles,112,,0.00,8.79,14.35,33.60,65.35,131.93,9240.00
Cu,mg/kgTS,metal,53,1,0.00,0.00,4.55,94.50,288.60,1691.20,45100.00
Cu,mg/kgTS,glass,42,,0.00,0.00,1.85,8.50,26.00,69.64,267.50
Cu,mg/kgTS,inert,46,,0.00,0.56,18.58,35.80,51.70,99.70,227.00
Cu,mg/kgTS,mix,110,,12.17,19.61,35.21,67.93,500.00,1154.99,4500.00
F,%TS,organic,,,,,,,,,
F,%TS,food waste,5,,0.000%,0.000%,0.000%,0.000%,0.010%,0.010%,0.010%
F,%TS,gardening waste,16,12,0.000%,0.000%,0.010%,0.010%,0.010%,0.010%,0.010%
F,%TS,paper & cardboard,21,,0.000%,0.000%,0.000%,0.010%,0.015%,0.036%,0.070%
F,%TS,composites,6,,0.000%,0.000%,0.000%,0.002%,0.010%,0.010%,0.010%
F,%TS,plastic,14,,0.000%,0.000%,0.000%,0.000%,0.010%,0.010%,0.010%
F,%TS,combustibles,25,,0.000%,0.000%,0.000%,0.010%,0.010%,0.030%,0.058%
F,%TS,metal,17,,0.000%,0.000%,0.000%,0.000%,0.000%,0.002%,0.010%
F,%TS,glass,6,,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
F,%TS,inert,8,,0.000%,0.000%,0.000%,0.006%,0.025%,0.087%,0.087%
F,%TS,mix,22,,0.000%,0.002%,0.018%,0.030%,0.050%,0.200%,0.240%
Fe,mg/kgTS,organic,45,,0,1220,2500,4700,5700,8240,16333
Fe,mg/kgTS,food waste,64,,0,18,29,48,88,409,2478
Fe,mg/kgTS,gardening waste,24,,76,168,1485,5270,6600,8643,9728
Fe,mg/kgTS,paper & cardboard,22,,46,147,459,755,1245,2722,2940
Fe,mg/kgTS,composites,4,,86,86,199,1585,9898,12320,12320
Fe,mg/kgTS,plastic,11,,0,0,305,849,1830,3380,3700
Fe,mg/kgTS,combustibles,31,,0,9,340,733,1850,7634,85100
Fe,mg/kgTS,metal,10,,150,765,19500,492500,810750,969300,980000
Fe,mg/kgTS,glass,8,,477,477,777,1350,2240,3567,3567
Fe,mg/kgTS,inert,11,,0,320,1730,11500,14990,219940,268000
Fe,mg/kgTS,mix,82,,684,1299,2017,5605,30819,49137,66000
H,%TS,organic,59,,4.3%,5.7%,6.6%,6.9%,7.2%,7.5%,7.9%
H,%TS,food waste,173,,1.5%,5.5%,6.2%,6.5%,6.9%,7.6%,14.7%
H,%TS,gardening waste,40,,1.8%,3.2%,4.8%,5.9%,6.4%,7.7%,15.5%
H,%TS,paper & cardboard,112,,3.5%,4.8%,5.4%,5.8%,6.0%,6.4%,8.9%
H,%TS,composites,40,,2.4%,3.7%,5.3%,6.4%,7.3%,8.5%,11.4%
H,%TS,plastic,151,,0.0%,3.9%,5.8%,9.7%,13.4%,14.4%,36.9%
H,%TS,combustibles,138,,2.6%,5.3%,6.0%,6.5%,7.4%,9.3%,16.9%
H,%TS,metal,14,,0.0%,0.0%,0.0%,0.3%,1.0%,7.2%,11.7%
H,%TS,glass,13,1,0.0%,0.0%,0.0%,0.0%,0.1%,1.1%,1.5%
H,%TS,inert,12,,0.0%,0.0%,0.0%,0.1%,0.9%,3.3%,3.4%
H,%TS,mix,73,,0.3%,2.0%,3.2%,5.6%,6.8%,7.5%,11.3%
Hg,mg/kgTS,organic,34,4,0.000,0.020,0.040,0.100,0.396,0.850,1.400
Hg,mg/kgTS,food waste,99,41,0.000,0.020,0.100,1.120,2.000,2.000,6.250
Hg,mg/kgTS,gardening waste,20,3,0.000,0.020,0.023,0.040,0.198,0.629,2.170
Hg,mg/kgTS,paper & cardboard,84,6,0.000,0.000,0.030,0.098,0.265,0.570,16.160
Hg,mg/kgTS,composites,14,,0.000,0.000,0.008,0.025,0.380,0.595,0.640
Hg,mg/kgTS,plastic,89,3,0.000,0.000,0.045,0.130,0.400,0.891,12.150
Hg,mg/kgTS,combustibles,140,6,0.000,0.000,0.050,0.110,0.470,1.573,7.030
Hg,mg/kgTS,metal,60,5,0.000,0.000,0.000,0.025,0.200,0.790,8.500
Hg,mg/kgTS,glass,49,6,0.000,0.000,0.000,0.040,0.200,0.340,2.350
Hg,mg/kgTS,inert,49,5,0.000,0.000,0.015,0.100,0.285,0.900,3.420
Hg,mg/kgTS,mix,113,,0.000,0.070,0.235,0.580,1.375,3.928,11.800
HHV,MJ/kgTS,organic,55,2,0.5,12.4,19.2,20.0,20.6,21.0,22.0
HHV,MJ/kgTS,food waste,29,,4.6,9.6,12.5,17.3,20.6,29.0,38.3
HHV,MJ/kgTS,gardening waste,22,,4.8,7.4,13.9,16.8,18.0,19.6,20.4
HHV,MJ/kgTS,paper & cardboard,79,,5.2,12.4,13.6,15.1,16.7,18.5,24.9
HHV,MJ/kgTS,composites,36,,8.6,15.4,16.4,19.2,22.8,27.2,32.2
HHV,MJ/kgTS,plastic,91,,6.5,22.4,26.1,33.5,41.0,45.7,49.4
HHV,MJ/kgTS,combustibles,100,,1.3,15.5,17.7,20.0,23.3,26.2,38.9
HHV,MJ/kgTS,metal,6,,0.0,0.0,0.0,0.4,3.3,11.1,11.1
HHV,MJ/kgTS,glass,6,2,0.0,0.0,0.1,0.4,0.6,0.8,0.8
HHV,MJ/kgTS,inert,5,1,0.0,0.0,0.0,0.5,2.0,2.2,2.2
HHV,MJ/kgTS,mix,45,,1.4,5.8,8.6,13.4,17.5,22.8,37.0
K,mg/kgTS,organic,76,,795,8000,9000,10000,14075,18060,21700
K,mg/kgTS,food waste,22,,0,34,4850,8989,12100,25693,41800
K,mg/kgTS,gardening waste,26,,161,216,5677,7695,11960,19900,27300
K,mg/kgTS,paper & cardboard,16,,118,297,676,743,1430,3080,3500
K,mg/kgTS,composites,4,,472,472,497,1096,1980,2100,2100
K,mg/kgTS,plastic,7,,190,190,372,750,1300,1990,1990
K,mg/kgTS,combustibles,20,,278,564,1016,1640,2803,9565,17900
K,mg/kgTS,metal,6,,162,162,191,501,1045,1190,1190
K,mg/kgTS,glass,6,,3650,3650,4237,5730,7195,7750,7750
K,mg/kgTS,inert,8,,2010,2010,6110,12600,16408,18600,18600
K,mg/kgTS,mix,70,,249,1484,2500,3622,7638,12497,19339
LHV,MJ/kgTS,organic,50,,4.6,15.7,17.9,18.5,18.9,19.4,20.3
LHV,MJ/kgTS,food waste,20,,7.9,8.8,10.8,13.8,18.5,19.4,24.8
LHV,MJ/kgTS,gardening waste,20,,6.4,7.0,10.8,12.8,16.5,18.4,19.5
LHV,MJ/kgTS,paper & cardboard,66,,6.7,10.8,11.5,13.4,15.0,17.3,23.0
LHV,MJ/kgTS,composites,39,,7.9,13.9,14.7,18.0,20.9,24.2,32.1
LHV,MJ/kgTS,plastic,74,,10.8,12.4,21.5,30.5,36.6,42.2,45.5
LHV,MJ/kgTS,combustibles,91,,6.0,13.4,16.3,19.4,22.5,25.7,37.4
LHV,MJ/kgTS,metal,11,,-0.1,-0.1,0.0,0.0,0.0,9.9,10.7
LHV,MJ/kgTS,glass,9,,0.0,0.0,0.0,0.0,0.3,0.7,0.7
LHV,MJ/kgTS,inert,12,,0.0,0.0,0.0,0.0,1.8,16.1,18.5
