Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
gardening waste,residual,HHV,MJ/kgTS,11.3347,18.371,0.6207751418211332,
gardening waste,residual,Hf,mg/kgTS,0.2751,1.04748,2.8076335877862593,
gardening waste,residual,Hg,μg/kgTS,6.6,48.833,6.3989393939393935,
gardening waste,residual,Ho,mg/kgTS,0.030667,0.160467,4.232562689535984,
gardening waste,residual,In,mg/kgTS,0.00895,0.041233,3.6070391061452516,
gardening waste,residual,Ir,mg/kgTS,0.194967,0.566333,1.9047633702113689,
gardening waste,residual,K,mg/kgTS,3300.6,16132.6,3.8877779797612555,
gardening waste,residual,LHV,MJ/kgTS,10.3308638923,17.015952079999998,0.6470986606146905,
gardening waste,residual,La,mg/kgTS,0.8806,7.8019,7.859754712695889,
gardening waste,residual,Li,mg/kgTS,4.99435,7.95343,0.592485508624746,
gardening waste,residual,Lu,mg/kgTS,0.017833,0.121567,5.816968541468064,
gardening waste,residual,Mg,mg/kgTS,1026.05,6226.44,5.068359241752351,
gardening waste,residual,Mn,mg/kgTS,123.668,395.222,2.1958307727140407,
gardening waste,residual,Mo,mg/kgTS,1.0079,10.6234,9.54013294969739,
gardening waste,residual,N,%TS,1.24333,2.92333,1.351210056863423,
gardening waste,residual,Na,mg/kgTS,1798.5,14120.1,6.851042535446205,
gardening waste,residual,Nb,mg/kgTS,0.47563,3.6044,6.5781594937241135,
gardening waste,residual,Nd,mg/kgTS,0.6502,11.3245,16.416948631190404,
gardening waste,residual,Ni,mg/kgTS,3.9637,12.0806,2.0478088654539954,
gardening waste,residual,O,%TS,28.8548,40.8888,0.4170536617824418,
gardening waste,residual,P,mg/kgTS,991.0,38988.3,38.34238143289607,
gardening waste,residual,Pb,mg/kgTS,1.9703,12.8062,5.499619347307517,
gardening waste,residual,Pd,mg/kgTS,0.154517,0.9618,5.22455781564488,
gardening waste,residual,Pr,mg/kgTS,0.2015,3.3781,15.764764267990072,
gardening waste,residual,Pt,mg/kgTS,0.021267,0.0607,1.8541872384445381,
gardening waste,residual,Rb,mg/kgTS,9.5226,32.9758,2.462898788146094,
gardening waste,residual,Re,mg/kgTS,0.0338,0.052017,0.5389644970414202,
gardening waste,residual,Rh,mg/kgTS,0.006333,0.009633,0.521080056845097,
gardening waste,residual,Ru,mg/kgTS,0.0077,0.01995,1.5909090909090906,
gardening waste,residual,S,mg/kgTS,1177.33,6070.9,4.156498178080912,
gardening waste,residual,Sb,mg/kgTS,0.2928,3.9507,12.492827868852459,
gardening waste,residual,Sc,mg/kgTS,0.2681,1.72237,5.424356583364416,
gardening waste,residual,Se,mg/kgTS,57.5829,67.6746,0.17525515387380622,
gardening waste,residual,Si,mg/kgTS,17822.0,93299.0,4.2350465716530135,
gardening waste,residual,Sm,mg/kgTS,0.12567,1.03697,7.251531789607703,
gardening waste,residual,Sn,mg/kgTS,2.192,5.08203,1.3184443430656931,
gardening waste,residual,Sr,mg/kgTS,37.317,102.494,1.7465766272744323,
gardening waste,residual,Ta,mg/kgTS,0.188467,0.656983,2.4859312240339158,
gardening waste,residual,Tb,mg/kgTS,0.017833,0.1605,8.000168227443503,
gardening waste,residual,Th,mg/kgTS,0.46893,5.2471,10.189516558974685,
gardening waste,residual,Ti,mg/kgTS,109.822,640.635,4.83339403762452,
gardening waste,residual,Tl,mg/kgTS,0.45145,0.9499,1.104108982168568,
gardening waste,residual,Tm,mg/kgTS,0.0159,0.092167,4.796666666666667,
gardening waste,residual,U,mg/kgTS,0.11637,1.271,9.922058949901176,
gardening waste,residual,V,mg/kgTS,1.8786,13.733,6.31023102310231,
gardening waste,residual,VS,%TS,56.8667,91.0667,0.6014064470067719,
gardening waste,residual,W,mg/kgTS,0.78023,9.33962,10.970342078617845,
gardening waste,residual,Yb,mg/kgTS,0.0643,0.685033,9.65370139968896,
gardening waste,residual,Zn,mg/kgTS,67.78,939.905,12.866996164060195,
gardening waste,residual,Zr,mg/kgTS,5.4269,40.3291,6.431332805100517,
gardening waste,residual,ash,%TS,8.9233,43.1267,3.8330438290766873,
glass,residual,Ag,mg/kgTS,1.1575,1.2845,0.10971922246220303,MSW_URB_GLA
