LOCATION,TIME,Scenario,INC%,DIS%
BEL,2014,OBS,0.9783427495291904,0.0216572504708096
BEL,2015,OBS,0.9808612440191389,0.019138755980861136
BEL,2016,OBS,0.9823337982333801,0.01766620176661997
BEL,2017,OBS,0.9799314733235439,0.020068526676456103
BEL,2018,OBS,0.9777562862669247,0.022243713733075286
BEL,2019,OBS,0.9789574366331898,0.02104256336681013
BEL,2020,OBS,0.9896510228640194,0.010348977135980585
BEL,2021,OBS,0.9897225077081192,0.01027749229188076
BEL,2022,BAU,0.9900336861251086,0.009966313874891384
BEL,2023,BAU,0.9915881126640899,0.008411887335910036
BEL,2024,BAU,0.9929001520070158,0.007099847992984218
BEL,2025,BAU,0.9940075845423403,0.005992415457659707
BEL,2026,BAU,0.9949423067091983,0.0050576932908017545
BEL,2027,BAU,0.9957312458741497,0.004268754125850282
BEL,2028,BAU,0.9963971334429468,0.003602866557053225
BEL,2029,BAU,0.996959158006491,0.003040841993508874
BEL,2030,BAU,0.9974335170305692,0.0025664829694308573
BEL,2031,BAU,0.9978338827806427,0.0021661172193573387
BEL,2032,BAU,0.9981717957693963,0.001828204230603691
BEL,2033,BAU,0.9984569969708709,0.0015430030291291104
BEL,2034,BAU,0.998697708310339,0.001302291689661042
BEL,2035,BAU,0.9989008694688094,0.0010991305311906436
BEL,2036,BAU,0.9990723377960217,0.0009276622039783871
BEL,2037,BAU,0.9992170570722063,0.0007829429277936258
BEL,2038,BAU,0.9993391999677926,0.0006608000322072825
BEL,2039,BAU,0.9994422882968333,0.000557711703166627
BEL,2040,BAU,0.9995292945231438,0.00047070547685620543
BEL,2041,BAU,0.9996027274400743,0.00039727255992579784
BEL,2042,BAU,0.9996647044902403,0.00033529550975972867
BEL,2043,BAU,0.999717012807566,0.00028298719243409937
BEL,2044,BAU,0.9997611607396706,0.00023883926032943533
BEL,2045,BAU,0.9997984213347696,0.00020157866523040044
BEL,2046,BAU,0.9998298690459935,0.00017013095400654523
BEL,2047,BAU,0.999856410710764,0.00014358928923596852
BEL,2048,BAU,0.9998788116980167,0.00012118830198332542
BEL,2049,BAU,0.9998977179768683,0.0001022820231316643
BEL,2050,BAU,0.9999136747428411,8.63252571589545e-05
CZE,2010,OBS,0.18691237307258365,0.8130876269274163
CZE,2011,OBS,0.21966150522146197,0.7803384947785381
CZE,2012,OBS,0.2634971796937953,0.7365028203062047
CZE,2013,OBS,0.25797219950940303,0.7420278004905969
CZE,2014,OBS,0.24845742492801318,0.751542575071987
CZE,2015,OBS,0.25159914712153514,0.7484008528784649
CZE,2016,OBS,0.2473706352545225,0.7526293647454775
CZE,2017,OBS,0.2776073619631902,0.7223926380368099
CZE,2018,OBS,0.26563916591115133,0.7343608340888487
CZE,2019,OBS,0.261377245508982,0.738622754491018
CZE,2020,OBS,0.2099117060666476,0.7900882939333523
CZE,2021,OBS,0.20778477389811098,0.792215226101889
CZE,2022,BAU,0.2699250902821629,0.7300749097178371
CZE,2023,BAU,0.2854464656750779,0.714553534324922
CZE,2024,BAU,0.3026588705362174,0.6973411294637826
CZE,2025,BAU,0.32123682663694386,0.6787631733630561
CZE,2026,BAU,0.34085790135819183,0.6591420986418083
CZE,2027,BAU,0.361221101486985,0.6387788985130151
CZE,2028,BAU,0.3820576383440286,0.6179423616559713
CZE,2029,BAU,0.40313566936101397,0.5968643306389859
CZE,2030,BAU,0.42426079099351116,0.5757392090064889
CZE,2031,BAU,0.4452738588375705,0.5547261411624296
CZE,2032,BAU,0.46604736091950527,0.5339526390804948
CZE,2033,BAU,0.48648120658083754,0.5135187934191624
CZE,2034,BAU,0.5064984837666042,0.4935015162333957
