,LOCATION,TIME,GDPVD_CAP,POP,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,MSW_GEN_CAP_KG/PS
751,ESP,2023,38270.8619271783,48022084.2991517,22706816.55928689,4169473.579039039,0.1836221104861906,0.4625931777792827,0.35378471173452675,472.84112904878634
752,ESP,2024,38565.2902406851,48328728.8781642,22924763.259414807,4418515.056439545,0.1927398336218341,0.45320624686495364,0.3540539195132123,474.3506355651872
753,ESP,2025,39130.1823481542,48579537.7574527,23183141.072377264,4678393.814036102,0.20180155050733883,0.44392765294789827,0.3542707965447629,477.2202894997841
754,ESP,2026,39478.2,48772642.0282623,23360690.78302803,4924317.105818465,0.21079501250862293,0.4347595189656061,0.3544454685257709,478.9711980230885
755,ESP,2027,39842.91,48914339.2619955,23517643.95945318,5167062.952690591,0.219710059460001,0.4257038221604464,0.3545861183795527,480.7924284428688
756,ESP,2028,40225.8,49058053.411075,23679814.53538639,5411743.430359511,0.22853825236985564,0.4167623944507666,0.3546993531793778,482.6896480576745
757,ESP,2029,40621.41,49203718.564587,23845807.046537075,5657955.993523089,0.2372725730138266,0.40793692314252633,0.35479050384364713,484.6342459917131
758,ESP,2030,41028.07,49349457.2723857,24014278.430447984,5905283.461113135,0.2459071788567987,0.39922895196733293,0.35486386917586843,486.61686992625886
759,ESP,2031,41454.65,49494256.4453162,24186812.691667628,6154024.981962094,0.254437203463446,0.3906398824318455,0.35492291410470844,488.67918075283063
760,ESP,2032,41892.3,49643332.9345123,24363796.084338762,6404233.186341055,0.2628585941276099,0.3821709754627408,0.35497043040964926,490.7768001088606
761,ESP,2033,42339.26,49793244.3721185,24543108.115496937,6655305.046624401,0.2711679798379785,0.37382335333079025,0.3550086668312313,492.9003607814665
762,ESP,2034,42787.17,49949061.0500331,24725277.34523635,6907316.872171639,0.27936256389465436,0.3655980018370692,0.3550394342682764,495.00985254696724
763,ESP,2035,43238.92,50102266.0505546,24906785.42003465,7159207.3104144195,0.28744003650730693,0.3574957727439225,0.35506419074877055,497.11894058649955
764,ESP,2036,43689.52,50253778.8258255,25086912.890916687,7410636.526858451,0.2953985035576716,0.34951738643302216,0.3550841100093063,499.20450714493296
765,ESP,2037,44136.78,50401899.0299376,25264305.547065295,7661057.780531865,0.30323642841715764,0.341663434772679,0.35510013681016334,501.25701676555605
766,ESP,2038,44578.91,50545691.1254341,25438082.68464479,7910037.550288018,0.31095258429452155,0.33393438417651056,0.3551130315289679,503.2690644493847
767,ESP,2039,45014.29,50686327.4798337,25608468.47724231,8157475.585420439,0.3185460150680159,0.32633057883559596,0.3551234060963882,505.2342466009402
768,ESP,2040,45448.16,50819604.1601436,25774531.842593312,8402909.849184403,0.32601600294823985,0.31885224410638646,0.3551317529453737,507.17695008745386
769,ESP,2041,45883.0,50946500.9479854,25937300.620377354,8646511.489362856,0.33336204163704763,0.31149949003685784,0.3551384683260945,509.1085773850972
770,ESP,2042,46328.84,51061130.0740823,26095981.023722142,8887868.74470658,0.34058381390709946,0.30427231501369306,0.35514387107920753,511.0733151785057
771,ESP,2043,46789.17,51165524.3276898,26252286.642027695,9127425.80672142,0.3476811727367467,0.29717060951366153,0.3551482177495918,513.0854610986653
772,ESP,2044,47271.74,51257613.1302512,26406753.505132593,9365264.06650591,0.3546541253049382,0.2901941599428043,0.35515171475225754,515.1771979321422
773,ESP,2045,47782.13,51338139.3801953,26560826.279136967,9601813.5825308,0.36150281928815015,0.28334265254754004,0.35515452816430987,517.3702553268483
774,ESP,2046,48328.06,51404514.5563175,26714644.49030168,9837067.582530705,0.36822753101213435,0.2766156773823636,0.35515679160550206,519.6945194576983
775,ESP,2047,48915.2,51455250.0052489,26868384.314456783,10071040.357312467,0.3748286551005469,0.2700127323194124,0.3551586125800407,522.1699304097438
776,ESP,2048,49546.8,51488998.6832746,27021698.02849484,10303554.377568781,0.38130669533437567,0.2635332270858182,0.35516007757980617,524.8052733500218
777,ESP,2049,50221.46,51507678.6208739,27174910.531643756,10534687.136715865,0.38766225649386316,0.25717648731543574,0.3551612561907011,527.5895023665638
778,ESP,2050,50939.74,51509693.9594726,27326904.301464047,10763959.307852885,0.39389603700102255,0.25094175860224016,0.35516220439673724,530.5196401082218
779,SWE,2010,45975.6869129739,9378126.0,4140000.0,2124000.0,0.5130434782608696,0.009178743961352657,0.4780193236714976,441.0
780,SWE,2011,47115.3714976574,9449212.5,4278000.0,2236000.0,0.522674146797569,0.007713884992987377,0.4696119682094437,453.0
781,SWE,2012,46641.4127865092,9519374.0,4324000.0,2271000.0,0.5252081406105458,0.006244218316373728,0.4685476410730805,454.0
782,SWE,2013,46780.2791969215,9600378.5,4371000.0,2236000.0,0.5115534202699611,0.006405856783344772,0.48226950354609927,455.0
783,SWE,2014,47599.0259906086,9696109.5,4295000.0,2149000.0,0.5003492433061699,0.006286379511059371,0.49336437718277065,443.0
784,SWE,2015,49091.9020753419,9799186.0,4422000.0,2284000.0,0.5165083672546359,0.007914970601537766,0.4755766621438263,451.0
785,SWE,2016,49367.995820192,9923085.0,4439000.0,2263000.0,0.5097995043928812,0.0063077269655327775,0.4841180446046407,447.0
786,SWE,2017,50081.2543522236,10057697.5,4551000.0,2400000.0,0.5273566249176005,0.004394638540980004,0.46802900461437047,452.0
787,SWE,2018,50509.1444296937,10175213.5,4416000.0,2362000.0,0.5348731884057971,0.006793478260869565,0.4583333333333333,434.0
788,SWE,2019,51010.8589572901,10278887.0,4611000.0,2427000.0,0.5263500325309044,0.007590544350466276,0.466276295814357,449.0
789,SWE,2020,49460.2898746581,10353442.0,4460000.0,2680000.0,0.6060606060606061,0.0047489823609226595,0.3860244233378562,431.0
790,SWE,2021,52083.9875291712,10415810.5,4352000.0,2599000.0,0.5966483011937558,0.005509641873278237,0.3948576675849403,418.0
791,SWE,2022,53240.8279123358,10486941.0,4787337.214357226,2560521.537569591,0.534852972105367,0.00031950824196052906,0.4648275196526725,456.5046388987243
792,SWE,2023,52575.0236169486,10570051.3471516,4801888.955972513,2568512.459694456,0.5348962633756411,0.0002277312368196739,0.46487600538753926,454.29192330901196
793,SWE,2024,52674.0836244805,10640609.0598386,4837461.514007616,2587678.7092564288,0.5349249191468306,0.00016230561371737365,0.464912775239452,454.6226148149636
794,SWE,2025,53700.8174277225,10711448.4344472,4906056.302548366,2624463.7654257175,0.5349436703493364,0.00011567070313475529,0.4649406589475288,458.01987775722876
795,SWE,2026,54974.39,10781787.5294513,4982902.098817749,2665632.2004476576,0.5349557642483302,8.24324426785688e-05,0.4649618033089911,462.15918141649155
796,SWE,2027,56146.02,10851201.8667679,5055540.865134746,2704529.428088728,0.5349634193920503,5.874382795548242e-05,0.46497783677999427,465.8968589108527
797,SWE,2028,57180.32,10918989.0438887,5122562.068477819,2740407.5203776453,0.5349681436250442,4.1861875102343045e-05,0.4649899944998534,469.1425229833791
798,SWE,2029,58125.33,10984780.9052514,5185533.395482881,2774109.756180901,0.534970955658569,2.983112744842476e-05,0.4649992132139825,472.06525466555973
799,SWE,2030,59033.99,11048433.159785,5246218.365331568,2806582.7588177365,0.5349725389557545,2.1257724663112357e-05,0.46500620331958237,474.8382227108172
800,SWE,2031,59939.24,11109955.180591,5305730.204240781,2838424.2523399172,0.5349733482624526,1.514820322354584e-05,0.4650115035343239,477.5654012997143
801,SWE,2032,60859.42,11169208.5531736,5364597.142044263,2869918.2914506667,0.5349736831043831,1.079452403827849e-05,0.4650155223715786,480.3023523560204
