LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
FIN,2033,3357987.578849748,1306397.9510552706,0.3890419247776869,5.112866774917729e-05,0.6109069465545639,REC
FIN,2034,3375185.8882365776,1247430.7427687314,0.36958875276065833,3.2815244426594264e-05,0.6303784319949151,REC
FIN,2035,3392496.8835376427,1187302.4593455319,0.3499789388479648,2.1061152035156614e-05,0.65,REC
FIN,2036,3409700.077071475,1193348.9374986559,0.34998648283563993,1.3517164360022037e-05,0.65,REC
FIN,2037,3427038.234683003,1199433.6513739992,0.3499913246474023,8.675352597694976e-06,0.65,REC
FIN,2038,3444214.791504143,1205456.0001591076,0.3499944321511569,5.5678488430831885e-06,0.65,REC
FIN,2039,3461351.129933275,1211460.5265333047,0.34999642655631363,3.573443686330755e-06,0.65,REC
FIN,2040,3478340.574678716,1217411.2237986808,0.34999770656762946,2.293432370512033e-06,0.65,REC
FIN,2041,3495046.434773407,1223261.1077372106,0.3499985280786456,1.4719213543382626e-06,0.65,REC
FIN,2042,3511461.271291367,1229008.1277574026,0.34999905532360476,9.446763952214882e-07,0.65,REC
FIN,2043,3527628.228946455,1234667.7413607074,0.34999939370863004,6.062913699647351e-07,0.65,REC
FIN,2044,3543612.553120116,1240263.0147140035,0.3499996108835217,3.891164782455842e-07,0.65,REC
FIN,2045,3559497.381378221,1245823.1945545922,0.3499997502659253,2.497340746786562e-07,0.65,REC
FIN,2046,3575205.762678271,1251321.4439078823,0.3499998397212495,1.6027875050146057e-07,0.65,REC
FIN,2047,3590890.0649811914,1256811.1533610332,0.3499998971334747,1.0286652528729173e-07,0.65,REC
FIN,2048,3606260.930313341,1262191.087526155,0.3499999339805081,6.601949187623885e-08,0.65,REC
FIN,2049,3621296.192932891,1267453.5140880193,0.34999995762884767,4.237115233336653e-08,0.65,REC
FIN,2050,3636095.1020289473,1272633.1868312373,0.3499999728062959,2.7193704071558882e-08,0.65,REC
FRA,2022,37941535.21777625,12633662.722462576,0.3329771093854814,0.20618485521674415,0.46083803539777446,REC
FRA,2023,38157174.825764745,12516375.420253608,0.32802154450392423,0.19575271512243736,0.4762257403736384,REC
FRA,2024,38332592.29708305,12372676.624539223,0.3227717167847459,0.1857337685388398,0.49149451467641425,REC
FRA,2025,38564387.90280272,12234421.968191102,0.31724662657752045,0.17611885932621354,0.506634514096266,REC
FRA,2026,38876863.90164189,12108729.101910396,0.3114636286647341,0.16689849999566223,0.5216378713396037,REC
FRA,2027,39181031.405192,11967396.81930905,0.3054385346712239,0.15806292032943509,0.536498544999341,REC
FRA,2028,39467202.10496724,11808023.433386337,0.2991857239330429,0.14960211435790274,0.5512121617090544,REC
FRA,2029,39740041.6774478,11632635.80446006,0.2927182587999524,0.14150588548641907,0.5657758557136285,REC
FRA,2030,40004832.6624522,11443302.412849309,0.2860480009853855,0.13376388959964958,0.5801881094149649,REC
FRA,2031,40265818.79146306,11241641.860438382,0.2791857262026365,0.12636567600407944,0.5944485977932841,REC
FRA,2032,40526469.21122098,11028923.377841422,0.2721412349138901,0.11930072610095802,0.6085580389851519,REC
FRA,2033,40787028.425768726,10805440.593921239,0.2649234575543262,0.11255848971161188,0.6225180527340619,REC
FRA,2034,41050873.65053063,10572264.703876222,0.25754055306785323,0.10612841900465668,0.6363310279274901,REC
FRA,2035,41314665.74612594,10328666.436531482,0.24999999999999997,0.1,0.65,REC
FRA,2036,41577997.64380456,10394499.410951138,0.24999999999999997,0.1,0.65,REC
FRA,2037,41836721.12452402,10459180.281131003,0.24999999999999997,0.1,0.65,REC
